000000,Apple,Ultra-Laptop-1000,Apple Laptop Ultra Series 1 Edition,9.99
000001,Samsung,Flex-Printer-1013,Samsung Printer Flex Series 2 Edition,10.36
000002,Sony,Pro-Console-1026,Sony Console Pro Series 3 Edition,10.73
000003,LG,Quantum-Phone-1039,LG Phone Quantum Series 4 Edition,11.10
000004,Dell,Lite-Router-1052,Dell Router Lite Series 5 Edition,11.47
000005,HP,Pulse-Projector-1065,HP Projector Pulse Series 6 Edition,11.84
000006,Lenovo,Air-Tablet-1078,Lenovo Tablet Air Series 7 Edition,12.21
000007,Asus,Vertex-Watch-1091,Asus Watch Vertex Series 8 Edition,12.58
000008,Acer,Core-Scanner-1104,Acer Scanner Core Series 9 Edition,12.95
000009,Microsoft,Fusion-Monitor-1117,Microsoft Monitor Fusion Series 10 Edition,13.32
000010,Canon,Power-Keyboard-1130,Canon Keyboard Power Series 11 Edition,13.69
000011,Nikon,Smart-Microphone-1143,Nikon Microphone Smart Series 12 Edition,14.06
000012,Bose,Nova-Camera-1156,Bose Camera Nova Series 13 Edition,14.43
000013,JBL,Max-Mouse-1169,JBL Mouse Max Series 14 Edition,14.80
000014,Logitech,Turbo-SSD-1182,Logitech SSD Turbo Series 15 Edition,15.17
000015,Philips,Prime-Speaker-1195,Philips Speaker Prime Series 16 Edition,15.54
000016,Panasonic,Nimbus-Drone-1208,Panasonic Drone Nimbus Series 17 Edition,15.91
000017,Toshiba,Edge-Charger-1221,Toshiba Charger Edge Series 18 Edition,16.28
000018,Xiaomi,Apex-Headphones-1234,Xiaomi Headphones Apex Series 19 Edition,16.65
000019,Google,Vision-TV-1247,Google TV Vision Series 20 Edition,17.02
000020,Apple,Ultra-Laptop-1260,Apple Laptop Ultra Series 21 Edition,17.39
000021,Samsung,Flex-Printer-1273,Samsung Printer Flex Series 22 Edition,17.76
000022,Sony,Pro-Console-1286,Sony Console Pro Series 23 Edition,18.13
000023,LG,Quantum-Phone-1299,LG Phone Quantum Series 24 Edition,18.50
000024,Dell,Lite-Router-1312,Dell Router Lite Series 25 Edition,18.87
000025,HP,Pulse-Projector-1325,HP Projector Pulse Series 26 Edition,19.24
000026,Lenovo,Air-Tablet-1338,Lenovo Tablet Air Series 27 Edition,19.61
000027,Asus,Vertex-Watch-1351,Asus Watch Vertex Series 28 Edition,19.98
000028,Acer,Core-Scanner-1364,Acer Scanner Core Series 29 Edition,20.35
000029,Microsoft,Fusion-Monitor-1377,Microsoft Monitor Fusion Series 30 Edition,20.72
000030,Canon,Power-Keyboard-1390,Canon Keyboard Power Series 31 Edition,21.09
000031,Nikon,Smart-Microphone-1403,Nikon Microphone Smart Series 32 Edition,21.46
000032,Bose,Nova-Camera-1416,Bose Camera Nova Series 33 Edition,21.83
000033,JBL,Max-Mouse-1429,JBL Mouse Max Series 34 Edition,22.20
000034,Logitech,Turbo-SSD-1442,Logitech SSD Turbo Series 35 Edition,22.57
000035,Philips,Prime-Speaker-1455,Philips Speaker Prime Series 36 Edition,22.94
000036,Panasonic,Nimbus-Drone-1468,Panasonic Drone Nimbus Series 37 Edition,23.31
000037,Toshiba,Edge-Charger-1481,Toshiba Charger Edge Series 38 Edition,23.68
000038,Xiaomi,Apex-Headphones-1494,Xiaomi Headphones Apex Series 39 Edition,24.05
000039,Google,Vision-TV-1507,Google TV Vision Series 40 Edition,24.42
000040,Apple,Ultra-Laptop-1520,Apple Laptop Ultra Series 41 Edition,24.79
000041,Samsung,Flex-Printer-1533,Samsung Printer Flex Series 42 Edition,25.16
000042,Sony,Pro-Console-1546,Sony Console Pro Series 43 Edition,25.53
000043,LG,Quantum-Phone-1559,LG Phone Quantum Series 44 Edition,25.90
000044,Dell,Lite-Router-1572,Dell Router Lite Series 45 Edition,26.27
000045,HP,Pulse-Projector-1585,HP Projector Pulse Series 46 Edition,26.64
000046,Lenovo,Air-Tablet-1598,Lenovo Tablet Air Series 47 Edition,27.01
000047,Asus,Vertex-Watch-1611,Asus Watch Vertex Series 48 Edition,27.38
000048,Acer,Core-Scanner-1624,Acer Scanner Core Series 49 Edition,27.75
